Project title,Description,Amount ARPA obligated,ARPA funds narrative,Amount city funds budgeted,City funds narrative,ARPA spent by end of 24?,Address,Lat,Lon,City fund sent by end of 24,% ARPA spent by 24,image_url,Subrecipient
Outdoor park maintenance,Improvements to public parks aimed to promote health and safety.,"1,968,788.14",almost 2 million,,,"1,936,528.61",CITYWIDE,,,,98%,,
Workforce development program,"The Greater Roanoke Workforce Development Board was tasked with administering the Star City Works program, devoted to pairing high-growth employers with trained employees.","1,816,179.35",1.8 million,,,"1,816,179.35",,,,,100%,,Workforce Development Board
Creating NW and SE leaders TK ,,"1,652,839.75",1.65 million,,,0,,,,,0%,,
"Gun violence initiatives, including police overtime pay",Gun violence spiked during the pandemic. Funding went to a youth and gang violence prevention unit; Gun Violence Prevention Commission grants and programs; police bonuses and overtime; and other initiatives.,"1,651,063.36",1.65 million,,,"1,622,564.31",PD,37.271074355410500,-79.947623583229200,,98%,,
"Grants to arts/culture groups, nonprofits and small businesses","Funds helped arts and cultural organizations disrupted by the pandemic ($580,500); nonprofits that saw increased demand for services ($410,500); Economic Development Authority grants to small businesses ($370,000); and cultural organizations for facility upgrades ($25,000)","1,386,000",1.39 nillion,,,"580,500",CITYWIDE,,,,42%,,
Downtown parking facility upgrades,"Improvements to parking structures will help create a sense of safety and draw visitor back downtown, according to the city. The pandemic prompted a rapid decline in downtown visitors.","884,442.50",884 thousand,,,"587,317.50","37°16'18.8""N 79°56'26.0""W",37.271892228098500,-79.940557865169300,,66%,,
Virginia Tech Carilion lab building,Funding will support the creation of the Virginia Tech Carilion lab space to spur growth in the city's innovation corridor.,"755,000",three quarters of a million,,,"755,000","37°15'49.8""N 79°56'27.5""W",37.263781969666000,-79.941002394778900,,100%,ARPA-photos/18-carilion-lab.jpg,VTC
Cash transfers to households for utility bills,"Funding helped 636 households to cover electric bills, car payments and medical bills that went unpaid becuase of the pandemic.","497,043.21",nearly half a million,,,"497,043.21",CITYWIDE,,,,100%,,
Grants for substance abuse programs,"Grants supported organizations whose projects treated, prevented or responded to substance abuse issues.","445,100",almost 450 thousand,,,"445,100",CITYWIDE,,,,100%,ARPA-photos/20-substance-abuse.jpg,
Permanent supportive housing for homeless,Commonwealth Catholic Charities proposed to provide permanent housing and supportive services to 41 households experiencing homelessness.,"390,600",nearly 400 thousand,,,"390,600",CITYWIDE,,,,100%,ARPA-photos/21-ccc-homeless.jpg,Commonwealth Catholic Charities 
Downtown Roanoke Inc. ambassador program,"The DRI program, administered through the company Block by Block, cleans up downtown and provides outreach. The program aims to improve the quality of life for downtown visitors and residents. ","300,000",300 thousand,,,"300,000","37°16'18.8""N 79°56'26.0""W",37.27183751,-79.94063949,,100%,ARPA-photos/22-DRI-CLEANING.jpg,DRI
Creating Northwest and Southeast community leaders,Service providers and resident leaders met with the goal to empower residents to improve neighborhood health outcomes. ,"281,500",over 280 thousand,,,"281,500",,,,,100%,,
Financial Empowerment Center,The center provides financial counseling for those experiencing hardships resulting from the pandemic.,"268,887.03",nearly 270 thousand,,,"268,887",Freedom First,,,,100%,ARPA-photos/24-financial-empowerment.jpg,Freedom First
Roanoke Valley Collective Response staffing,"Funds the executive director of the Roanoke Valley Collective Response, to the opioid and addiction crisis, which is housed under the Roanoke Valley-Alleghany Regional Commission.","250,000",quarter of a million,,,"250,000",RVARC address,,,,100%,ARPA-photos/25-collective-response.jpg,RVARC
Tree planting,"Focused on Census tracts with less tree coverage, the project will improve air and water quality and reduce energy costs.","230,609",over 230 thousand,,,"215,104.99",NW section,37.3146638,-79.98466039,,93%,ARPA-photos/26-tree-planting.jpg,
Jefferson Center ,HVAC improvements and marketing,"150,000",150 thousand,,,"150,000",,37.270583826796000,-79.951868475833700,,100%,ARPA-photos/27-jefferson-center.jpg,Jefferson Center
Center in the Square,HVAC improvements,"124,000",124 thousand,,,"124,000",,37.271430559663700,-79.939623164705400,,100%,ARPA-photos/28-ctr-square-photo.jpg,Center in the Square
Taubman Museum of Art,Technology for greater spacing of on-site gatherings and production of content for off-site viewing,"75,700",over 75 thousand,,,"75,700",,37.272798929381900,-79.938281423595300,,100%,ARPA-photos/29-taubman.jpg,Taubman Museum
Grandin Theatre ,HVAC improvements and other repairs,"68,500",70 thousand,,,"68,500",,37.265460297653400,-79.976936758187000,,100%,ARPA-photos/30-grandin-theatre.jpg,Grandin Theatre
City employee health clinic overtime pay,The clinic was responsible for contact tracing for city employees who tested positive for the Covid-19 virus.,"29,250",thirty thousand,,,"29,250",,,,,100%,,Marathon Health
